,PLAINVIEW PUBLIC LIBRARY,209 N. PINE ST,PO BOX 728,PLAINVIEW,68769,PIERCE,402-582-4507,Three Rivers Library System,"1,264","1,264",0,0,2016,N/A,Yes,No,No,No,N/A,"7,000",52,CI,SO,PL1,Y,ME,N,1,"2,652",10/01/2023,09/30/2024,"$97,026",,,Pierce County,"$10,300",,,"$107,326","$1,041",$500,$595,$0,"$2,136","$2,109",,$0 ,"$2,109",$0,$900,Cooper Foundation & Keno Grant,"$1,500","$2,400","$113,971",$0,$0,$0,$0,$0,No,,,,,"$59,180","$17,211","$76,391",1,1,0,1,1,1,0,1,1,1,,"$7,204",$500,$500,"$8,204",$0,$895,$0,$589,"$21,811","$23,295","$107,890",$0,"16,224","1,044",773,"16,495","1,045",24,66,"1,003",747,50,35,762,17,0,0,17,"cake pans, puzzles, storybags",214,72,27,259,"18,230","1,190",901,"18,519",N/A,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,941,"9,468",CT - Annual Count,648,CT - Annual Count,"1,878",CT - Annual Count,"5,790","9,815",134,"15,739",582,398,980,186,76,262,654,158,812,0,0,0,"2,054","7,212","10,447","17,793",No,No,Yes,No,No,No,4,120,0,N/A,,100,80,180,16,106,3,305,257,48,0,305,"1,179","1,332","2,511",163,787,21,"3,482",870,"2,612",0,"3,482",0,0,0,48,0,0,Yes,69,No,,Yes,6,No,0,0,0,0,,0,0,0,0,0,,0,Yes,158,Yes,0,1,0,1,,No,Atriuum Book Systems,Yes,17,DNSFilter,Plainview Telephone Company,Fiber Optic,Yes,N/A,N/A,50.1 Mbps - 100.0 Mbps,Yes,Data443 Ransomware Recovery Manager,88,76,Yes - Permanently allocated makerspace,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,No,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,3,77,2,0,0,0.00,0,0,0.00,2,Director,$18.07,2,3,Donna Christiansen,Director,01/07/2025
,PLATTSMOUTH PUBLIC LIBRARY,401 AVENUE A,401 AVENUE A,PLATTSMOUTH,68048,CASS,(402) 296-4154,Three Rivers Library System,"6,808","6,808",0,0,1916,1975,Yes,No,No,No,NA,"7,216",52,CI,SO,PL1,Y,ME,N,1,"3,276",10/1/2023,9/30/2024,"$426,800",,,,,,,"$426,800","$1,958",$0,$0,$0,"$1,958",$0,,$0 ,$0,"$1,042",$0,"Donations, library cards, copi","$36,683","$37,725","$466,483","$29,694",$0,$0,$0,"$29,694",Yes,non-City residents,$30,$30,547,"$243,235","$81,229","$324,464",1,1,1,1,1,1,1,1,1,1,NA,"$33,455","$5,398","$7,685","$46,538","$23,572","$18,495",$780,$303,"$31,227","$74,377","$445,379","$29,694","29,836","2,213","1,452","30,597","3,017",120,470,"2,667","8,690",438,6,"9,122",15,0,0,15,"video and board games, chairs, puzzles",420,82,50,452,"41,963","2,853","1,978","42,838","artifacts, computers, gaming equipment","4,125",Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,"2,670","45,784",CT - Annual Count,"2,045",CT - Annual Count,"4,122",CT - Annual Count,"19,415","17,635","1,687","38,737","4,304",699,"5,003","1,245",89,"1,334","5,886",971,"6,857",0,0,0,"13,194","30,850","19,394","51,931",Yes,No,Yes,Yes,No,No,450,155,0,Yes,1455,149,35,184,100,51,89,424,370,54,0,424,"2,961","1,301","4,262",675,511,"3,027","8,475","3,880","4,595",0,"8,475",0,0,0,233,553,25,Yes,"2,973",Yes,"1,030",Yes,327,No,0,0,0,0,,0,0,0,0,0,,0,Yes,143,No,0,1,0,1,,No,Polaris,Yes,16,NA,Spectrum Business,Cable,Yes,3044,CT - Annual Count,24.1 Mbps - 50.0 Mbps,Yes,Deep Freeze,34,2,Yes - Permanently allocated makerspace,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,"Heat press, mug press",,,Yes - Informal or one on one training,,,,No,No,Yes - Informal or one on one training,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,Yes - Informal or one on one training,No,0,3,120,3,1,40,1,6,144,4,7,Library Director,$34.45,8,1,Karen Mier,Library Director,2/14/2025
,PLYMOUTH PUBLIC LIBRARY,103 NORTH JEFFERSON AVENUE,P. O. BOX 378,PLYMOUTH,68424,JEFFERSON,(402) 656-4335,Southeast Library System,357,357,0,0,1970,2023,Yes,No,No,No,NA,984,52,CI,SO,PL1,Y,ME,N,1,832,10/1/2023,9/30/2024,"$21,108",,,,,,,"$21,108",$809,$0,$0,$0,$809,$0,,$0 ,$0,$0,$0,,,$0,"$21,917",$0,$0,$0,$0,$0,No,NA,$0,$0,0,"$14,598","$1,398","$15,996",,,,,,1,,,,,NA,"$3,000","$1,750",$170,"$4,920",$0,$784,$0,$0,"$4,400","$5,184","$26,100",$0,"6,843",550,195,"7,198",30,0,0,30,110,0,20,90,2,0,0,2,N/A,0,0,0,0,"6,983",550,215,"7,318",N/A,N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,324,"1,674",CT - Annual Count,40,ES - Annual Estimate Based on Typical Week(s),36,CT - Annual Count,420,"1,650",0,"2,070",100,30,130,58,0,58,74,20,94,0,0,0,282,652,"1,700","2,352",No,No,Yes,No,No,No,0,8,6,No,NA,15,4,19,4,2,25,50,45,5,0,50,330,40,370,40,80,120,610,480,130,0,610,0,0,0,16,4,4,Yes,33,Yes,3,Yes,16,No,,,,,NA,,,,,,NA,,Yes,9,No,,,,1,NA,No,Apollo Biblionix,Yes,2,NA,Diode Communications,DSL,Yes,NA,ES - Annual Estimate Based on Typical Week(s),12.1 Mbps - 18.0 Mbps,No,NA,12,12,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA,,,,,,,No,,,,,,,,,,,No,No,No,No,No,No,No,No,No,N/A,2,16,0.40,0,0,0.00,0,0,0.00,0.40,Library Director,$16.50,0,0,Dave Rosenbaum,Library Director,1/29/25
,POLK PUBLIC LIBRARY,180 NORTH MAIN,PO BOX 49,POLK,68654,POLK,(402) 765-7266,Southeast Library System,343,343,0,0,1910,,Yes,No,No,No,,"1,875",52,CI,SO,PL1,Y,ME,N,1,780,10/1/2023,9/30/2024,"$17,737",,,Polk,"$2,600",,,"$20,337",$706,$0,$0,$0,$706,$0,,$0 ,$0,$0,$0,,,$0,"$21,043",$0,$0,$0,$0,$0,No,N/A,$0,$0,0,"$9,271","$2,068","$11,339",,,,,,,,1,1,,,"$1,320",$0,$0,"$1,320",$0,$0,$967,$0,"$4,155","$5,122","$17,781",$0,"7,784",99,0,"7,883",121,0,0,121,357,0,0,357,5,2,0,7,None,0,0,0,0,"8,262",99,0,"8,361",0,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,188,"1,399",CT - Annual Count,15,ES - Annual Estimate Based on Typical Week(s),234,CT - Annual Count,264,460,0,724,29,1,30,48,3,51,123,100,223,0,0,0,304,464,564,"1,028",No,No,Yes,No,No,No,0,0,0,No,,6,6,12,0,8,4,24,23,1,0,24,25,73,98,0,84,277,459,384,75,0,459,0,0,0,0,0,0,Yes,11,No,0,No,0,No,0,,,,,,,,,,,,No,0,No,,,,1,,No,none,Yes,3,0,Windstream,DSL,Yes,NA,N/A,24.1 Mbps - 50.0 Mbps,No,None,41,41,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,N/A,1,20,0.50,0,0,0.00,0,0,0.00,0.50,Librarian,$13.00,5,8,Louise Logston,Librarian,3/10/2025
,PONCA CARNEGIE LIBRARY,200 WEST SECOND STREET,PO BOX 368,PONCA,68770,DIXON,(402) 755-2739,Three Rivers Library System,895,895,0,0,1913,2006,Yes,No,No,No,,"3,456",52,CI,SO,PL1,Y,ME,N,1,"1,560",10/1/2023,9/30/2024,"$81,700",,,,,,,"$81,700",$902,$0,$0,$0,$902,$0,,$0 ,$0,$0,$0,,,$0,"$82,602",$0,$0,$0,$0,$0,Yes,outside city limits,$15,$15,9,"$41,911","$3,206","$45,117",,,,,,,,1,1,1,,"$3,152",$500,$0,"$3,652",$0,"$1,054","$1,092",$0,"$42,079","$44,225","$92,994",$0,"10,435",262,645,"10,052",269,0,0,269,704,0,0,704,1,0,0,1,E-Readers,2,0,0,2,"11,410",262,645,"11,027",Chromebooks,25,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,894,"1,822",CT - Annual Count,"1,438",CT - Annual Count,88,CT - Annual Count,352,916,0,"1,268",959,25,984,366,56,422,"1,728",96,"1,824",0,0,0,"3,230","3,405","1,093","4,498",No,No,Yes,No,No,No,0,5,0,N/A,,1,33,34,0,58,1,93,45,12,36,93,3,154,157,0,237,63,457,217,240,0,457,32,"2,261","2,261",6,2,0,Yes,17,No,0,No,0,No,,,,,,,,,,,,,Yes,5,Yes,,,,,,No,Follett,Yes,6,Filter Block,Great Plains,DSL,Yes,NA,N/A,24.1 Mbps - 50.0 Mbps,Yes,Deep Freeze,49,48,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,0,2,42,1,0,0,0.00,2,15,0.38,1,Library Director,$16.25,0,0,Melissa Kebaili,Library Director,1/23/2025
,POTTER PUBLIC LIBRARY,333 CHESTNUT,PO BOX 317,POTTER,69156,CHEYENNE,(308) 879-4345,Western Library System,343,343,0,0,1900,N/A,No,No,No,No,N/A,"1,080",52,CI,SO,PL1,Y,ME,N,1,776,10/1/2023,9/30/2024,"$21,454",,,,,,,"$21,454",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$50,Fund Raiser & Donations,$444,$494,"$22,148",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,0,"$10,363","$2,226","$12,589",0,0,1,0,0,1,0,1,1,1,N/A,"$3,151",$0,$0,"$3,151",$0,$0,$0,$0,"$8,865","$8,865","$24,605",$0,"4,691",408,25,"5,074",3,0,0,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,"4,694",408,25,"5,077",None,N/A,No,No,No,No,No,No,No,No,No,No,No,No,148,960,CT - Annual Count,43,ES - Annual Estimate Based on Typical Week(s),24,ES - Annual Estimate Based on Typical Week(s),362,817,0,"1,179",0,0,0,0,0,0,0,0,0,0,0,0,0,362,817,"1,179",No,No,Yes,No,No,No,0,0,0,N/A,N/A,1,2,3,0,0,0,3,2,1,0,3,12,18,30,0,0,0,30,18,12,0,30,0,0,0,14,0,0,Yes,12,No,0,No,0,No,0,0,0,0,N/A,1,0,0,0,0,N/A,1,No,N/A,N/A,0,0,0,0,Delivery of books to Preschool,No,None,Yes,2,None,Hiline,Fiber Optic,Yes,N/A,N/A,50.1 Mbps - 100.0 Mbps,No,N/A,N/A,105,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,N/A,Yes - Informal or one on one training,,,,,,,,,,,,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,No,No,No,No,No,Yes - Informal or one on one training,No,No,No,N/A,1,15,0.38,0,0,0.00,0,0,0.00,0.38,Library Director,$13.50,1,1,Jodi Enevoldsen,Library Director,1/2/25
,RAVENNA PUBLIC LIBRARY,324 MILAN AVENUE,324 MILAN AVENUE,RAVENNA,68869,BUFFALO,308-452-4213,Central Plains Library System,"1,382","1,382",0,0,2018,N/A,Yes,No,No,No,N/A,"7,611",52,CI,SO,PL1,Y,ME,N,1,"2,496",10/1/2023,9/30/2024,"$197,792",,,,,,,"$197,792","$1,181",$0,$525,$0,"$1,706",$0,,$0 ,$0,$0,$0,"Donations, Give Where you Live, Dollar Gen. Grant, fees, interest, room rentals, fines, misc.","$20,876","$20,876","$220,374",$0,$0,$0,$0,$0,Yes,Patrons outside of city,$5,$5,142,"$83,833","$8,757","$92,590",1,1,,1,1,1,1,1,1,1,deferred compensation plan,"$13,107",$500,$400,"$14,007","$3,210",$500,$0,"$2,334","$50,558","$56,602","$163,199","$67,526","13,950","1,366",845,"14,471",401,0,117,284,"1,290",94,37,"1,347",16,0,4,12,"Bckpck adv, stem kts, science kts, tools",376,17,0,393,"16,017","1,477",999,"16,495","board games, switch games/controllers, sewing machines, microfilm, headphones, vintage books","1,623",No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,931,"17,978",CT - Annual Count,668,CT - Annual Count,"4,557",CT - Annual Count,"3,445","6,587","1,444","11,476","1,188",108,"1,296",491,0,491,"1,729",312,"2,041",0,0,0,"3,828","6,853","7,007","15,304",No,Yes,Yes,No,Yes,No,52,189,2,N/A,,68,160,228,46,83,62,419,361,58,0,419,"1,362","3,109","4,471",355,689,"1,981","7,496","6,654",842,0,"7,496",35,842,842,763,127,347,Yes,187,Yes,37,Yes,20,No,,,,,,,,,,,,,Yes,186,Yes,,1,1,1,,Yes,Book Systems Atriuum,Yes,14,Site and Word Blocking ext. on Web Brows,Prairie Hills Wirerless,Other - specify using the State Note,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,692,492,Yes - Permanently allocated makerspace,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,"Laminator, Cricut, button maker, Snap On",Yes - Formal training or programs,,Yes - Formal training or programs,Yes - Formal training or programs,,Yes - Formal training or programs,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,Yes - Formal training or programs,Yes - Formal training or programs,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Formal training or programs,No,,4,81,2,0,0,0.00,2,10,0.25,2,Library Director,$24.00,20,5,Joy Kyhn,Director,01/17/2025
,RAYMOND A. WHITWER TILDEN PUBLIC LIBRARY,202 SOUTH CENTER STREET,PO BOX 457,TILDEN,68781,ANTELOPE,(402) 368-5306,Three Rivers Library System,989,989,0,0,2001,2024,Yes,No,No,No,N/A,"12,704",52,CI,SO,CD1,Y,ME,N,1,"2,288",10/1/2023,9/30/2024,"$125,113",,,"Madison, Antelope","$12,625 ",,,"$137,738","$1,235",$0,$0,$0,"$1,235","$1,492",,$0 ,"$1,492",$0,$0,"Rental fees, interest income, foundation","$9,019","$9,019","$149,484","$6,000",$0,$0,$0,"$6,000",No,N/A,N/A,N/A,0,"$83,511","$8,708","$92,219",,,1,1,1,1,1,1,1,1,Paid Holidays,"$8,434",$500,"$1,965","$10,899","$5,069","$1,008","$3,059",$513,"$36,717","$46,366","$149,484","$6,000","21,606",711,550,"21,767",122,51,8,165,"2,557",120,1,"2,676",37,3,2,38,Puzzles,174,19,1,192,"24,459",901,560,"24,800",Headphones; copy/fax/printer; Accucut; laminators; newspapers,"1,623",No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,596","6,072",CT - Annual Count,435,CT - Annual Count,555,CT - Annual Count,"4,476","4,125",168,"8,769",737,253,990,155,50,205,704,203,907,0,0,0,"2,102","6,072","4,631","10,871",Yes,Yes,Yes,No,No,No,8,129,0,N/A,NA,2,5,7,0,4,8,19,19,0,0,19,60,385,445,0,255,"1,015","1,715","1,715",0,0,"1,715",0,0,0,2,0,2,Yes,85,No,0,No,0,No,,,,,,1,,,,,,1,Yes,160,Yes,,,,1,Assisted Living residents,Yes,Follett Destiny,Yes,9,DNSfilter,Sparklight Business,Cable,Yes,220,CT - Annual Count,100.0 Mbps - 1 Gbps,Yes,Data 443 RRM,361,45,Yes - Permanently allocated makerspace,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,NA,,,,,,,No,Yes - Informal or one on one training,,,,,,,,,,No,No,No,No,No,No,No,No,No,N/A,3,80,2,0,0,0.00,2,20,0.50,3,Library Director,$21.50,0,0,Cindy Lee Simeon,Library Director,2/4/2025
,RISING CITY COMMUNITY LIBRARY,250 GARHAN AVENUE,P. O. BOX 190,RISING CITY,68658,BUTLER,402-954-0270,Southeast Library System,362,510,0,0,1960,2023,Yes,No,No,No,,1500,52,CI,SO,CD1,Y,ME,N,1,600,1/1/2024,12/31/2024,$0,Reading Township,"$11,665",,,,,"$11,665",$641,$0,$0,$0,$641,$0,,$0 ,$0,$0,$0,"Historical Socity, donations","$1,942","$1,942","$14,248",$0,$0,$0,$0,$0,No,,,,,"$2,664",$147,"$2,811",,,,,,,,,,,,$562,"$2,000",$0,"$2,562",$735,$0,$379,$0,"$14,953","$16,067","$21,440",$0,"2,781",182,,"2,963",0,,,0,206,0,0,206,0,0,0,0,None,0,0,0,0,"2,987",182,0,"3,169",,,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,74,717,CT - Annual Count,52,CT - Annual Count,30,CT - Annual Count,170,124,0,294,33,3,36,1,0,1,78,3,81,0,0,0,118,282,130,412,No,Yes,Yes,No,No,No,0,0,0,No,,10,10,20,0,8,3,31,31,0,0,31,60,12,72,0,12,60,144,144,0,0,144,0,0,0,,,,Yes,10,No,,No,,No,,,,,,,,,,,,,Yes,6,No,,,,,,No,Alexandria,Yes,1,None,Vyve,DSL,Yes,N/A,N/A,50.1 Mbps - 100.0 Mbps,No,,N/A,210,Yes -Temporary or shared space for makerspace,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Yes - Informal or one on one training,No,No,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,,,,,,,,,No,No,No,No,No,No,No,No,,1,15,0.38,0,0,0.00,0,0,0.00,0.38,Director,$15.00,,,Diane Duren,Board President,02/11/2025
,ROCK COUNTY PUBLIC LIBRARY,201 EAST BERTHA,PO BOX 465,BASSETT,68714,ROCK,(402) 684-3800,Central Plains Library System,549,"1,271",0,0,1969,2023,Yes,No,No,No,,"3,349",51,CO,MO,CO1,Y,ME,N,1,"2,074",7/1/2023,6/30/2024,$0,,,Rock,"$149,002",,,"$149,002",$955,$0,$0,"$1,000","$1,955",$0,,$0 ,$0,$0,$0,"Fines, fees, donations","$4,054","$4,054","$155,011","$10,072",$0,$0,$0,"$10,072",No,N/A,N/A,N/A,0,"$61,562","$41,248","$102,810",1,1,1,1,1,1,,1,1,1,,"$7,120","$1,750",$725,"$9,595","$3,761",$599,$269,$745,"$9,146","$14,520","$126,925","$23,800","11,540",515,112,"11,943",895,6,0,901,606,23,0,629,12,0,4,8,"Cake Pans, Makerspace and Games",308,7,5,310,"13,349",551,117,"13,783","2 iPads, 4 sets of headphones, 1 laptop, 2 laminators, 1 projector",N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,176","2,160",ES - Annual Estimate Based on Typical Week(s),925,ES - Annual Estimate Based on Typical Week(s),324,CT - Annual Count,"1,802","2,697",290,"4,789","1,593",135,"1,728",305,1,306,"2,477",236,"2,713",0,0,0,"4,747","6,177","3,069","9,536",No,No,Yes,No,No,No,0,93,0,No,N/A,4,38,42,0,8,18,68,61,7,0,68,32,466,498,0,72,275,845,761,84,0,845,0,0,0,265,0,22,Yes,31,Yes,2,No,N/A,No,,,,,Some patrons still hand us change if they think their books are late. So we do not charge fines anymore but if they do hand us something we collect it.,,,,,,,,Yes,22,No,,,,1,,Yes,Alexandria,Yes,5,DNS Filter,Fastwyre Broadband,Fiber Optic,Yes,1053,ES - Annual Estimate Based on Typical Week(s),50.1 Mbps - 100.0 Mbps,Yes,Data443,52,80,Yes -Temporary or shared space for makerspace,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,"Button maker, laminator and projectors",,,,Yes - Informal or one on one training,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,No,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,No,No,No,No,No,N/A,2,60,2,0,0,0.00,6,3,0.08,2,Library Director,$20.75,2,2,Macey Lackaff,Library Director,2/5/25
,RUSHVILLE PUBLIC LIBRARY,207 SPRAGUE STREET,PO BOX 389,RUSHVILLE,69360,SHERIDAN,(308) 327-2740,Western Library System,784,784,0,0,1940,2023,Yes,No,No,No,N/A,"2,180",52,CI,SO,PL1,Y,ME,N,1,"2,080",10/1/2023,9/30/2024,"$38,147",,,Sheridan,"$35,844",,,"$73,991","$1,233",$0,$0,$0,"$1,233",$0,,$0 ,$0,$0,$0,,,$0,"$75,224",$0,$0,$0,$0,$0,No,N/A,$0,$0,0,"$56,743","$5,324","$62,067",0,,1,1,1,1,1,1,1,1,,"$1,267",$500,$330,"$2,097",$99,"$1,121",$0,$0,"$10,371","$11,591","$75,755","$58,388","19,509",359,392,"19,476",616,2,3,615,"1,309",64,0,"1,373",18,0,5,13,Cake pans,95,6,0,101,"21,529",431,395,"21,565",N/A,N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,491,"3,173",CT - Annual Count,80,CT - Annual Count,846,CT - Annual Count,"1,137",184,11,"1,332","1,116",44,"1,160",19,0,19,889,76,965,0,0,0,"2,144","3,161",304,"3,476",No,No,Yes,No,No,No,6,3,0,N/A,,5,5,10,0,0,0,10,10,0,0,10,85,13,98,0,0,0,98,98,0,0,98,0,0,0,0,0,0,Yes,27,No,N/A,No,N/A,No,,,,,N/A,,,,,,N/A,,Yes,28,No,,1,,1,,Yes,Apollo / Biblionix,No,6,DNS Filter,Telecom West Inc.,Area Wireless,Yes,N/A,N/A,50.1 Mbps - 100.0 Mbps,No,N/A,57,16,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,N/A,3,55,1,0,0,0.00,0,0,0.00,1,Director,$15.90,3,16,Dela DeSersa,Director,1/22/2025
,SAINT EDWARD PUBLIC LIBRARY,302 BEAVER STREET,PO BOX 249,ST. EDWARD,68660,BOONE,(402) 678-2204,Three Rivers Library System,711,711,0,0,2004,,Yes,No,No,No,,"5,000",52,CI,SO,PL1,Y,ME,N,1,"1,872",10/1/2023,9/30/2024,"$52,075",,,Boone,"$2,500",,,"$54,575",$898,$0,$800,$0,"$1,698",$0,,$0 ,$0,$0,$0,,,$0,"$56,273",$0,$0,$0,$0,$0,No,,,,4,"$35,722","$3,207","$38,929",,,1,1,,,,,,1,Holiday Pay,"$4,690",$500,$0,"$5,190",$0,$859,$540,$5,"$9,161","$10,565","$54,684","$2,075","15,913",381,690,"15,604",418,3,0,421,"1,778",133,5,"1,906",12,0,0,12,Puzzles & Cake Pans,19,18,10,27,"18,128",535,705,"17,958",,,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,475,"2,356",CT - Annual Count,135,CT - Annual Count,594,CT - Annual Count,"1,071","1,320",7,"2,398",505,35,540,48,1,49,617,312,929,0,0,0,"1,518","2,241","1,668","3,916",Yes,No,Yes,No,No,No,0,3,0,N/A,,7,52,59,2,43,9,113,106,7,0,113,61,650,711,19,407,146,"1,283",909,374,0,"1,283",0,0,,0,0,0,Yes,241,No,,No,,No,,,,,,,,,,,,,Yes,59,No,,1,,1,,No,Follett,Yes,5,,Great Plains Communications,DSL,Yes,NA,N/A,18.1 Mbps - 24.0 Mbps,Yes,Deep Freeze,19,17,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes - Informal or one on one training,,,,,,,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,2,49,1,0,0,0.00,1,2,0.05,1,Director,$18.00,1,1,Vickie Fritzges,Director,01/30/2025
,SAINT PAUL PUBLIC LIBRARY,1301 HOWARD AVENUE,1301 HOWARD AVENUE,ST. PAUL,68873,HOWARD,(308) 754-5223,Central Plains Library System,"2,427","2,427",0,0,1998,1998,Yes,No,No,No,N/A,"10,000",52,CI,SO,PL1,Y,ME,N,1,"3,640",10/1/2023,9/30/2024,"$78,950",,,,,St Paul Public School,"$32,285","$111,235","$1,324",$0,$0,$0,"$1,324",$0,,$0 ,$0,$20,$0,,,$20,"$112,579","$26,423",$0,$0,$0,"$26,423",Yes,Out of Howard County Residents,$15,$15,20,"$44,618","$2,725","$47,343",,,,,,,,1,1,1,,"$22,511","$1,718",$599,"$24,828","$1,470","$2,300",$0,$25,"$52,956","$56,751","$128,922","$26,423","45,477","1,426","1,402","45,501",616,7,0,623,"1,469",20,1,"1,488",22,1,6,17,"Cake Pans, Telescope, Giant Jenga",29,2,0,31,"47,591","1,455","1,403","47,643",N/A,0,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,"1,979","49,808",ES - Annual Estimate Based on Typical Week(s),"3,536",ES - Annual Estimate Based on Typical Week(s),"14,686",ES - Annual Estimate Based on Typical Week(s),"9,299","19,852",12,"29,163","2,188",293,"2,481",198,0,198,"2,578",771,"3,349",0,0,0,"6,028","14,263","20,916","35,191",No,Yes,Yes,No,No,No,0,238,0,Yes,269,18,38,56,0,17,6,79,67,12,0,79,432,866,"1,298",0,92,675,"2,065","1,677",388,0,"2,065",0,0,0,222,0,85,Yes,195,No,N/A,No,N/A,Yes – for some patrons,1,1,1,1,,,,,1,1,,,Yes,174,Yes,,,,,,No,Biblionix-Apollo,Yes,34,IBOSS,Charter,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,415,90,Yes - Permanently allocated makerspace,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,"Button maker, Laminator, Comb Binding",,,Yes - Formal training or programs,Yes - Formal training or programs,,Yes - Formal training or programs,Yes - Formal training or programs,,No,,,,No,,,,,,Yes - Formal training or programs,Yes - Formal training or programs,No,Yes - Formal training or programs,No,Yes - Formal training or programs,No,No,N/A,5,45,1,0,0,0.00,1,10,0.25,1,Library Director,$18.58,7,4,Kelli Helton,Library Director,1/24/2025
